File; Clique; Time (sec)
brock200_1.clq; 8; 0.000848
brock200_2.clq; 4; 0.000624
brock200_3.clq; 4; 0.000525
brock200_4.clq; 6; 0.000441
brock400_1.clq; 5; 0.000715
brock400_2.clq; 5; 0.000641
brock400_3.clq; 5; 0.000592
brock400_4.clq; 5; 0.000604
C125.9.clq; 10; 0.000215
gen200_p0.9_44.clq; 9; 0.000362
gen200_p0.9_55.clq; 10; 0.000334
hamming8-4.clq; 5; 0.000371
johnson16-2-4.clq; 6; 0.000191
johnson8-2-4.clq; 3; 6e-05
keller4.clq; 4; 0.000256
MANN_a27.clq; 30; 0.001337
MANN_a9.clq; 10; 0.000119
p_hat1000-1.clq; 3; 0.001343
p_hat1000-2.clq; 6; 0.00135
p_hat1500-1.clq; 3; 0.002193
p_hat300-3.clq; 7; 0.000455
p_hat500-3.clq; 6; 0.000693
san1000.clq; 6; 0.001346
sanr200_0.9.clq; 9; 0.000333
sanr400_0.7.clq; 6; 0.000633
